,ALWNC_DE,ALWNC_RESN,BSI_INT,ENG_RN,MVMN_DE,MVMN_RESN,MVM_RES_CD,NTFC_DE,OPERT_DE,RBP_CN,RDS_DPN_SE,RDS_MAN_NO,REP_CN,RN,RN_CD,ROAD_BT,ROAD_LT,ROA_CLS_SE,SIG_CD,WDR_RD_CD,COORDS
201,20101018,언주로 시점에서 93번째 분기된 도로,17,Eonju-ro 93-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225536,역삼동 676,1,976,역삼동 678-5,언주로93길,4166623,4.0,77.0,4,11680,3,"[(127.03943612689307, 37.503182658770186), (127.0391296869962, 37.50383297107999)]"
202,20101018,논현로 시점에서 94번째 분기된 도로,16,Nonhyeon-ro 94-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225532,역삼동 668-17,1,977,역삼동 678-5,논현로94길,4166206,4.0,115.0,4,11680,3,"[(127.03874795423751, 37.502957483932306), (127.03843015152118, 37.50360146401697), (127.03827073237751, 37.503921088753614)]"
203,20101018,논현로 시점에서 94번째 분기된 도로,16,Nonhyeon-ro 94-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225532,역삼동 668-17,1,978,역삼동 678-5,논현로94길,4166206,6.0,77.0,4,11680,3,"[(127.03839872256735, 37.50284253599752), (127.03824126715855, 37.50317388210941), (127.03809222723235, 37.50348753879348)]"
204,20101018,언주로 시점에서 97번째 분기된 도로,16,Eonju-ro 97-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225536,역삼동 662-18,1,979,역삼동 671-31,언주로97길,4166625,4.0,111.0,4,11680,3,"[(127.03937740770846, 37.50499477397245), (127.03982674626906, 37.50405714967926)]"
205,20101018,언주로 시점에서 97번째 분기된 도로,16,Eonju-ro 97-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225536,역삼동 662-18,1,980,역삼동 671-31,언주로97길,4166625,6.0,110.0,4,11680,3,"[(127.03904094387559, 37.50487670643266), (127.03947220420648, 37.50394323380064)]"
206,20101018,언주로 시점에서 97번째 분기된 도로,16,Eonju-ro 97-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225536,역삼동 662-18,1,981,역삼동 671-31,언주로97길,4166625,4.0,109.0,4,11680,3,"[(127.03870347436978, 37.50475827784937), (127.0391296869962, 37.50383297107999)]"
207,20101018,논현로 시점에서 98번째 분기된 도로,16,Nonhyeon-ro 98-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225532,역삼동 667-16,1,982,역삼동 671-31,논현로98길,4166209,6.0,73.0,4,11680,3,"[(127.03780214506973, 37.504103091066625), (127.03795094890846, 37.503787326518136), (127.03809222723235, 37.50348753879348)]"
208,20101018,테헤란로 시점에서 27번째 분기된 도로,16,Teheran-ro 27-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225537,역삼동 679-4,1,983,역삼동 666-2,테헤란로27길,4166728,4.0,65.0,4,11680,3,"[(127.03726437948082, 37.503582487105916), (127.03795094890846, 37.503787326518136)]"
209,20101018,테헤란로 시점에서 27번째 분기된 도로,16,Teheran-ro 27-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225537,역삼동 679-4,1,984,역삼동 666-2,테헤란로27길,4166728,4.0,65.0,4,11680,3,"[(127.0374149026056, 37.503264695438105), (127.03809222723235, 37.50348753879348)]"
210,20101018,테헤란로 시점에서 27번째 분기된 도로,16,Teheran-ro 27-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225537,역삼동 679-4,1,985,역삼동 666-2,테헤란로27길,4166728,4.0,65.0,4,11680,3,"[(127.03756248700975, 37.50295309431631), (127.03824126715855, 37.50317388210941)]"
211,20101018,테헤란로 시점에서 51번째 분기된 도로,16,Teheran-ro 51-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225537,역삼동 702-28,1,986,역삼동 698-6,테헤란로51길,4166744,4.0,77.0,4,11680,3,"[(127.04515566869173, 37.50562496597505), (127.04546341269285, 37.506022074796874), (127.04548466854058, 37.5060495022699), (127.04561410544187, 37.506216517028896)]"
212,20101018,테헤란로 시점에서 53번째 분기된 도로,15,Teheran-ro 53-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225537,역삼동 697-12,1,987,역삼동 693,테헤란로53길,4166746,4.0,153.0,4,11680,3,"[(127.04683894678001, 37.505469009160876), (127.04670912159072, 37.505335666162345), (127.04546341269285, 37.506022074796874)]"
213,20101018,언주로 시점에서 94번째 분기된 도로,16,Eonju-ro 94-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225536,역삼동 700-6,1,988,역삼동 700-33,언주로94길,4166624,4.0,62.0,4,11680,3,"[(127.04295228421854, 37.5043924463477), (127.04311549056008, 37.50494008765044)]"
214,20101018,테헤란로 시점에서 1번째 분기된 도로,16,Teheran-ro 1-gil,20141030,"광역도로 정비 및 부여사유, 부여방식 정비",90,20101203,20141030225537,역삼동 821-3,1,1025,역삼동 814-6,테헤란로1길,4166722,4.0,141.0,4,11680,3,"[(127.02744395251, 37.5001744200135), (127.02784333591556, 37.50029875961016), (127.02792907820461, 37.50032545508326), (127.0289312756038, 37.50063745885017)]"
