ALWNC_DE,ALWNC_RESN,BSI_INT,ENG_RN,MVMN_DE,MVMN_RESN,MVM_RES_CD,NTFC_DE,OPERT_DE,RBP_CN,RDS_DPN_SE,RDS_MAN_NO,REP_CN,RN,RN_CD,ROAD_BT,ROAD_LT,ROA_CLS_SE,SIG_CD,WDR_RD_CD
"20101018","역삼로 시점에서 14번째 분기된 도로","16","Yeoksam-ro 14-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225536","역삼동 789","0",592,"역삼동 793-1","역삼로14길","4166633",9.000,175.000,"4","11680","3"
"20101018","역삼로 시점에서 18번째 분기된 도로","16","Yeoksam-ro 18-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225536","역삼동 789-7","0",593,"역삼동 794","역삼로18길","4166636",4.000,175.000,"4","11680","3"
"20101018","역삼로 시점에서 20번째 분기된 도로","16","Yeoksam-ro 20-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225536","역삼동 790","0",594,"역삼동 796","역삼로20길","4166639",6.000,188.000,"4","11680","3"
"20101018","역삼로 시점에서 34번째 분기된 도로","16","Yeoksam-ro 34-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225536","역삼동 771","0",595,"역삼동 781-21","역삼로34길","4166645",6.000,227.000,"4","11680","3"
"20101018","역삼로 시점에서 52번째 분기된 도로","16","Yeoksam-ro 52-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225536","역삼동 755","0",596,"역삼동 758-2","역삼로52길","4166650",6.000,213.000,"4","11680","3"
"20101018","역삼로 시점에서 64번째 분기된 도로","16","Yeoksam-ro 64-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225536","대치동 909","0",597,"대치동 924","역삼로64길","4166653",8.000,211.000,"4","11680","3"
"20101018","역삼로 시점에서 70번째 분기된 도로","16","Yeoksam-ro 70-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225536","대치동 910","0",598,"대치동 919-34","역삼로70길","4166657",6.000,220.000,"4","11680","3"
"20101018","역삼로 시점에서 74번째 분기된 도로","16","Yeoksam-ro 74-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225536","대치동 911","0",599,"대치동 916-75","역삼로74길","4166660",6.000,236.000,"4","11680","3"
"20101018","역삼로 시점에서 78번째 분기된 도로","16","Yeoksam-ro 78-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225536","대치동 912","0",600,"대치동 929","역삼로78길","4166662",8.000,210.000,"4","11680","3"
"20101018","역삼로 시점에서 84번째 분기된 도로","14","Yeoksam-ro 84-gil","20141030","광역도로 정비 및 부여사유, 부여방식 정비","90","20101203","20141030225536","대치동 965","0",601,"대치동 962-20","역삼로84길","4166666",6.000,242.000,"4","11680","3"
